id,name,province_id,city_id
1,آذرشهر,1,0
840,آذر شهر,1,1
1021,تیمورلو,1,1
1054,گوگان,1,1
686,ممقان,1,1
2,اسکو,1,0
1232,اسکو,1,2
807,ایلخچی,1,2
1631,شهرجدیدسهند,1,2
3,اهر,1,0
941,اهر,1,3
4,بستان آباد,1,0
714,بستان آباد,1,4
473,تیکمه داش,1,4
1297,کردکندی,1,4
5,بناب,1,0
995,بناب,1,5
912,خوشه مهر,1,5
6,تبریز,1,0
18738,اسفهلان,1,6
1285,باسمنج,1,6
950,تبریز,1,6
1409,خسروشاه,1,6
1697,سردرود,1,6
18739,لاهیجان,1,6
7,جلفا,1,0
799,جلفا,1,7
1058,سیه رود,1,7
1175,هادیشهر,1,7
8,چاراویماق,1,0
750,قره آغاج,1,8
9,خدا آفرین,1,0
1837,خمارلو,1,9
10169,عاشقلو,1,9
1080,لاریجان,1,9
10,سراب,1,0
541,دوزدوزان,1,10
1368,سراب,1,10
492,شربیان,1,10
